0,1,2
299.25,331.11111111111114,0.6877648830413818
328.5,426.6666666666667,0.643280565738678
249.75,440.0,0.5796023607254028
175.5,544.4444444444445,0.589462161064148
225.0,548.8888888888889,0.5830944180488586
407.25,408.8888888888889,0.5935772061347961
477.0,511.11111111111114,0.6245630979537964
387.0,535.5555555555555,0.5712930560112
285.75,660.0,0.3623964786529541
231.75,833.3333333333334,0.591259241104126
191.25,1026.6666666666667,0.5170183181762695
398.25,662.2222222222223,0.3840324580669403
423.0,851.1111111111112,0.4574015438556671
432.0,1053.3333333333335,0.42006587982177734
281.25,317.77777777777777,0.6837225556373596
315.0,315.55555555555554,0.7269178032875061
261.0,340.0,0.6319459676742554
337.5,328.8888888888889,0.6823844909667969
0,1,2
299.25,331.11111111111114,0.687747597694397
328.5,424.44444444444446,0.6429945826530457
249.75,440.0,0.5799443125724792
175.5,544.4444444444445,0.589011549949646
225.0,548.8888888888889,0.5832938551902771
407.25,408.8888888888889,0.5935232043266296
477.0,511.11111111111114,0.624617338180542
387.0,535.5555555555555,0.5712867975234985
285.75,660.0,0.36190974712371826
231.75,833.3333333333334,0.5909223556518555
191.25,1026.6666666666667,0.5172784924507141
398.25,662.2222222222223,0.3840719163417816
423.0,851.1111111111112,0.4570505917072296
432.0,1053.3333333333335,0.42047950625419617
281.25,317.77777777777777,0.683813214302063
315.0,315.55555555555554,0.7269547581672668
261.0,340.0,0.6318825483322144
337.5,328.8888888888889,0.6822888851165771
0,1,2
299.25,331.11111111111114,0.6877456903457642
328.5,424.44444444444446,0.6430036425590515
249.75,440.0,0.5799708962440491
175.5,544.4444444444445,0.5890237092971802
225.0,548.8888888888889,0.5832989811897278
407.25,408.8888888888889,0.5935250520706177
477.0,511.11111111111114,0.6246176958084106
387.0,535.5555555555555,0.5712865591049194
285.75,660.0,0.3618987202644348
231.75,833.3333333333334,0.5917841792106628
191.25,1026.6666666666667,0.5173749923706055
398.25,662.2222222222223,0.3840774595737457
423.0,851.1111111111112,0.4570620357990265
432.0,1053.3333333333335,0.4204677939414978
281.25,317.77777777777777,0.6837983131408691
315.0,315.55555555555554,0.7269499897956848
261.0,340.0,0.6318487524986267
337.5,328.8888888888889,0.6822843551635742
0,1,2
301.5,333.33333333333337,0.7037217020988464
333.0,426.6666666666667,0.6556944847106934
256.5,442.22222222222223,0.5896815657615662
177.75,546.6666666666667,0.5992739200592041
229.5,522.2222222222223,0.5035053491592407
411.75,411.11111111111114,0.5931588411331177
479.25,511.11111111111114,0.6140777468681335
402.75,564.4444444444445,0.5016271471977234
297.0,660.0,0.36700379848480225
243.0,817.7777777777778,0.5788881182670593
207.0,1013.3333333333334,0.4114325940608978
409.5,664.4444444444445,0.3812844157218933
429.75,846.6666666666667,0.5416268706321716
432.0,1051.111111111111,0.43697166442871094
285.75,324.44444444444446,0.694320559501648
317.25,317.77777777777777,0.723131537437439
267.75,346.6666666666667,0.6649657487869263
344.25,331.11111111111114,0.686712920665741
0,1,2
306.0,337.77777777777777,0.6893765330314636
337.5,433.33333333333337,0.6314682960510254
265.5,448.8888888888889,0.565488874912262
191.25,555.5555555555555,0.6357513666152954
254.25,506.6666666666667,0.6209002137184143
411.75,417.77777777777777,0.5837322473526001
488.25,520.0,0.6080038547515869
407.25,593.3333333333334,0.580741286277771
303.75,664.4444444444445,0.4244050979614258
256.5,804.4444444444445,0.5873742699623108
225.0,968.8888888888889,0.31671175360679626
414.0,668.8888888888889,0.4005979299545288
427.5,855.5555555555555,0.48104068636894226
429.75,1046.6666666666667,0.45016956329345703
288.0,328.8888888888889,0.7306308150291443
319.5,326.6666666666667,0.7029936909675598
270.0,351.11111111111114,0.6691179275512695
346.5,342.22222222222223,0.659309983253479
0,1,2
306.0,337.77777777777777,0.6892541646957397
337.5,433.33333333333337,0.6324726939201355
265.5,448.8888888888889,0.5656028985977173
191.25,555.5555555555555,0.6338488459587097
252.0,506.6666666666667,0.6276894807815552
411.75,417.77777777777777,0.5842797756195068
486.0,520.0,0.6067836880683899
405.0,593.3333333333334,0.5791991353034973
303.75,664.4444444444445,0.42341330647468567
256.5,804.4444444444445,0.5819512009620667
225.0,968.8888888888889,0.3222047686576843
414.0,668.8888888888889,0.39939069747924805
427.5,853.3333333333334,0.4841909408569336
432.0,1048.888888888889,0.4505389332771301
288.0,328.8888888888889,0.7305453419685364
319.5,326.6666666666667,0.7031106948852539
270.0,351.11111111111114,0.6688317656517029
346.5,342.22222222222223,0.6592625975608826
0,1,2
310.5,344.44444444444446,0.6767998337745667
346.5,440.0,0.6354233026504517
